,PCA,Neighbors,Weights,P Integer,Mean CV Score,STD CV Score,Execution Time
324,10,189,distance,1,0.7569568547357671,0.42892094237085443,139.6509997844696
325,18,123,distance,1,0.7574674495787592,0.4286146432489318,199.61899971961975
326,23,131,distance,1,0.755935665049783,0.42953106448256484,241.6385157108307
327,3,157,uniform,1,0.6601991319887669,0.47364146578403127,87.0660035610199
328,17,129,uniform,2,0.7462343630329333,0.4351650703603927,193.20699667930603
329,13,101,uniform,2,0.755425070206791,0.42983489098705785,161.8960041999817
330,9,93,uniform,2,0.7605310186367118,0.4267594033271175,133.2910029888153
331,8,195,uniform,1,0.7464896604544294,0.4350205136416674,125.83800029754639
332,2,89,distance,1,0.6272657646157774,0.4835322379705013,81.55299925804138
333,None,143,uniform,1,0.7528720959918305,0.4313417474215758,249.72851300239563
334,10,165,distance,1,0.7584886392647434,0.427999560012696,140.20600032806396
335,12,175,uniform,2,0.7385754403880521,0.4394106954133536,154.9370036125183
336,17,195,distance,2,0.7508297166198621,0.43253260369641466,198.56499910354614
337,11,159,uniform,2,0.7426601991319888,0.4371681916119054,149.07500004768372
338,1,19,distance,2,0.4934899157518509,0.49995761700676383,78.26900267601013
339,18,15,uniform,2,0.7722747000255298,0.4193643853810285,200.70200443267822
340,11,41,uniform,1,0.7781465407199387,0.41549308283716524,148.44899606704712
341,4,41,uniform,1,0.7819760020423794,0.41290378331058686,93.22498989105225
342,6,21,distance,2,0.7786571355629308,0.4151508169326689,109.39499425888062
343,None,27,distance,2,0.7794230278274189,0.41463570941219896,252.5199999809265
344,23,77,distance,1,0.7600204237937197,0.427070695798874,241.41000270843506
345,10,3,uniform,2,0.7375542507020679,0.4399636098285619,140.34500455856323
346,2,87,uniform,1,0.630839928516722,0.48257736489161934,79.34799599647522
347,2,51,distance,1,0.6206280316568803,0.4852307471488042,80.80199980735779
348,23,33,distance,1,0.7725299974470258,0.41919852157602383,240.55300045013428
349,16,9,uniform,1,0.7595098289507276,0.42738115152398115,186.6359987258911
350,19,17,uniform,1,0.7712535103395456,0.420025633894497,211.27299666404724
351,9,43,distance,2,0.7829971917283636,0.4122045480994356,133.22199606895447
352,1,183,uniform,2,0.565994383456727,0.49562560602955785,77.59299921989441
